"date","subways_total_estimated_ridership","buses_total_estimated_ridersip"
"2021-05-20T00:00:00.000","2269471","1243965"
"2021-05-21T00:00:00.000","2331876","1221591"
"2021-05-22T00:00:00.000","1645268","839877"
"2021-05-23T00:00:00.000","1268928","645466"
"2021-05-24T00:00:00.000","2118877","1192453"
"2021-05-25T00:00:00.000","2270945","1253998"
"2021-05-26T00:00:00.000","2275882","1241052"
"2021-05-27T00:00:00.000","2352019","1246269"
"2021-05-28T00:00:00.000","2232599","1135369"
"2021-05-29T00:00:00.000","1370135","648192"
"2021-05-30T00:00:00.000","1065176","484864"
"2021-05-31T00:00:00.000","1389651","702801"
"2021-06-01T00:00:00.000","2258831","1230127"
"2021-06-02T00:00:00.000","2343745","1249102"
"2021-06-03T00:00:00.000","2233917","1143159"
"2021-06-04T00:00:00.000","2310032","1160335"
"2021-06-05T00:00:00.000","1792204","874545"
"2021-06-06T00:00:00.000","1363344","654780"
"2021-06-07T00:00:00.000","2223265","1200737"
"2021-06-08T00:00:00.000","2265591","1175335"
"2021-06-09T00:00:00.000","2386026","1259005"
"2021-06-10T00:00:00.000","2473818","1276901"
"2021-06-11T00:00:00.000","2468258","1221484"
"2021-06-12T00:00:00.000","1775538","849178"
"2021-06-13T00:00:00.000","1379959","647385"
"2021-06-14T00:00:00.000","2223186","1176722"
"2021-06-15T00:00:00.000","2469785","1277203"
"2021-06-16T00:00:00.000","2519444","1288040"
"2021-06-17T00:00:00.000","2552497","1281552"
"2021-06-18T00:00:00.000","2572013","1235675"
"2021-06-19T00:00:00.000","1784312","841519"
"2021-06-20T00:00:00.000","1389352","652557"
"2021-06-21T00:00:00.000","2264368","1191844"
"2021-06-22T00:00:00.000","2354873","1172110"
"2021-06-23T00:00:00.000","2547416","1264095"
"2021-06-24T00:00:00.000","2552639","1248843"
"2021-06-25T00:00:00.000","2582713","1214123"
"2021-06-26T00:00:00.000","1854179","841585"
"2021-06-27T00:00:00.000","1559967","656004"
"2021-06-28T00:00:00.000","2252362","1152019"
"2021-06-29T00:00:00.000","2343739","1169268"
"2021-06-30T00:00:00.000","2346388","1139886"
"2021-07-01T00:00:00.000","2292461","1104516"
"2021-07-02T00:00:00.000","2296044","1121116"
"2021-07-03T00:00:00.000","1541988","738089"
"2021-07-04T00:00:00.000","1468510","615001"
"2021-07-05T00:00:00.000","1495709","770321"
"2021-07-06T00:00:00.000","2302002","1181416"
"2021-07-07T00:00:00.000","2437064","1234617"
"2021-07-08T00:00:00.000","2364250","1164513"
"2021-07-09T00:00:00.000","2318387","1115969"
"2021-07-10T00:00:00.000","1781717","855908"
"2021-07-11T00:00:00.000","1365854","635511"
"2021-07-12T00:00:00.000","2245412","1171521"
