pl_name,pl_orbper,pl_orbsmax,st_mass,discoverymethod,disc_year
"NGTS-34 b",43.12655000000,0.2570000000,1.266000,"Transit",2025
"Kepler-341 c",8.01041000000,0.0800000000,,"Transit",2014
"Kepler-11 e",31.99960000000,0.1950000000,0.961000,"Transit",2010
"TOI-5789 c",12.92774800000,0.1009000000,0.821000,"Transit",2026
"TOI-5789 b",2.76369000000,0.0360800000,0.821000,"Radial Velocity",2026
"TOI-5789 d",29.65000000000,0.1756000000,0.821000,"Radial Velocity",2026
"TOI-5789 e",62.98000000000,0.2901000000,0.821000,"Radial Velocity",2026
"GJ 3090 c",15.94070000000,0.0997000000,0.519000,"Radial Velocity",2026
"HD 176986 d",61.37600000000,0.2814900000,0.789000,"Radial Velocity",2026
"GJ 4274 b",1.63390000000,0.0153000000,0.180000,"Radial Velocity",2026
"GJ 4274 c",69.57000000000,0.1860000000,0.180000,"Radial Velocity",2026
"TOI-375 c",115.50000000000,0.5240000000,1.441000,"Radial Velocity",2026
"TOI-375 d",297.90000000000,0.9840000000,1.441000,"Radial Velocity",2026
"GJ 887 d",50.77000000000,0.2120000000,0.495000,"Radial Velocity",2026
"GJ 887 e",4.42490000000,0.0417000000,0.495000,"Radial Velocity",2026
"HD 164604 c",5387.00000000000,5.5560000000,0.770000,"Radial Velocity",2026
"LHS 1903 e",29.31773000000,0.1513500000,0.538000,"Transit",2026
"TOI-4336 A c",7.58726600000,0.0509200000,0.306000,"Transit",2026
"DMPP-2 c",3.16800000000,0.0478900000,1.410000,"Radial Velocity",2026
"DMPP-2 d",16.49100000000,0.1432000000,1.410000,"Radial Velocity",2026
"DMPP-6 b",7.60270000000,0.0779000000,1.079000,"Radial Velocity",2026
"DMPP-6 c",36.44100000000,0.2206000000,1.079000,"Radial Velocity",2026
"DMPP-7 b",4.98400000000,0.0587300000,1.090000,"Radial Velocity",2026
"DMPP-8 b",62.91500000000,0.3098000000,0.990000,"Radial Velocity",2026
"DMPP-9 b",12.73300000000,0.1097000000,1.100000,"Radial Velocity",2026
"TOI-2267 d",2.03446710000,0.0145000000,,"Transit",2025
"HD 68475 b",7832.00000000000,7.2700000000,0.830000,"Radial Velocity",2026
"HD 100508 b",5681.00000000000,6.1100000000,0.940000,"Radial Velocity",2026
"HD 48265 c",10418.00000000000,10.4000000000,1.380000,"Radial Velocity",2026
"HD 114386 c",444.00000000000,1.0500000000,0.800000,"Radial Velocity",2026
"TOI-1232 c",30.35600000000,0.1940000000,1.058000,"Transit Timing Variations",2026
"Kepler-107 b",3.18002180000,0.0454400000,1.238000,"Transit",2014
"GJ 1137 c",9.64120000000,0.0835000000,0.836000,"Radial Velocity",2026
"TIC 147027702 b",44.40523000000,0.2740000000,1.406000,"Transit",2026
"TIC 245076932 b",21.61389000000,0.1570000000,1.117000,"Transit",2026
"TOI-5624 f",45.37000000000,0.2366000000,0.858000,"Transit Timing Variations",2026
"TOI-237 c",1.74486147000,0.0160000000,0.169800,"Transit",2026
"XO-2 S d",4696.00000000000,5.4600000000,0.980000,"Radial Velocity",2024
"HD 5388 b",772.50000000000,1.7570000000,1.210000,"Radial Velocity",2010
"HD 16760 b",466.08000000000,1.1560000000,0.930000,"Radial Velocity",2009
